‎הנה החלק השני: פריטים 201 עד 400 (ירקות, אגוזים, שומנים, ממרחים, רטבים ומוצרי חלב נוספים):
‎פריטים 201–400 (ל-100 גרם)
מס'	שם המוצר	קלוריות	חלבון (ג')	פחמימות (ג')	שומן (ג')
201	עגבניות שרי	22	0.9	4.8	0.2
202	גזר טרי	41	0.9	9.6	0.2
203	פלפל אדום (גמבה)	31	1.0	6.0	0.3
204	פלפל ירוק / צהוב	27	0.9	4.6	0.2
205	קישוא טרי / מבושל	17	1.2	3.1	0.3
206	חציל קלוי / אפוי ללא שמן	35	0.8	8.5	0.2
207	כרוב לבן קצוץ	25	1.3	5.8	0.1
208	כרוב אדום קצוץ	31	1.4	7.4	0.2
209	חסה ערבית / מסולסלת	15	1.4	2.9	0.2
210	עלי תרד טריים	23	2.9	3.6	0.4
211	ברוקולי מבושל / בקיטור	35	2.4	7.2	0.4
212	כרובית אפויה / מבושלת	23	1.8	4.1	0.5
213	בצל צהוב / סגול	40	1.1	9.3	0.1
214	בצל ירוק	32	1.8	7.3	0.2
215	שום טרי	149	6.4	33.1	0.5
216	פטריות שמפיניון טריות	22	3.1	3.3	0.3
217	פטריות פורטבלו בגריל	30	3.5	4.5	0.5
218	צנונית טרייה	16	0.7	3.4	0.1
219	דלעת אפויה	30	1.0	7.5	0.1
220	דלורית אפויה בתנור	45	1.0	12.0	0.1
221	סלק אדום מבושל	44	1.7	9.6	0.2
222	עשבי תיבול (פטרוזיליה/כוסברה/שמיר)	36	3.0	6.3	0.8
223	נבטים סיניים	30	3.0	5.9	0.2
224	סלרי (גבעולים)	14	0.7	3.0	0.2
225	שעועית ירוקה מבושלת (סנפרוסט)	35	1.8	7.0	0.2
226	שעועית צהובה מבושלת	31	1.8	7.0	0.1
227	לקט ירקות לנורמנדי (סנפרוסט)	32	2.0	6.0	0.3
228	לקט ירקות מוקפצים	40	2.0	7.5	0.5
229	שקדים טבעיים	579	21.0	21.5	50.0
230	שקדים מולבנים / פרוסים	580	21.2	20.0	50.6
231	אגוזי מלך קלופים	654	15.2	13.7	65.2
232	אגוזי קשיו טבעיים	553	18.2	30.2	43.9
233	בוטנים קלויים / טבעיים	585	25.8	16.1	49.2
234	פיסטוקים קלויים ומומלחים	562	20.2	27.5	45.3
235	אגוזי לוז (בונדוק)	628	15.0	16.7	60.8
236	אגוזי פקאן טבעיים	691	9.2	13.9	72.0
237	אגוזי ברזיל	656	14.3	12.3	66.4
238	גרעיני חמנייה קלופים	584	20.8	20.0	51.5
239	גרעיני דלעת קלופים	559	30.2	10.7	49.0
240	שומשום מלא / לבן	573	17.7	23.4	49.7
241	זרעי צ'יה	486	16.5	42.1	30.7
242	זרעי פשתן טחונים	534	18.3	28.9	42.2
243	חמאת בוטנים טבעית 100%	588	25.0	20.0	50.0
244	חמאת בוטנים סקיפי עם שבבים	590	22.0	22.0	50.0
245	טחינה גולמית משומשום מלא (הנסיך/אל ארז)	595	18.0	21.0	53.0
246	טחינה גולמית קלאסית	590	17.0	20.0	53.5
247	טחינה מוכנה למאכל (צבר / אחלה)	270	6.5	6.0	24.0
248	חומוס אחלה / צבר קלאסי	230	5.0	15.0	16.0
249	חומוס דל שומן 9%	145	6.0	14.0	7.0
250	ממרח אבוקדו מוכן	175	1.8	8.0	15.5
251	שמן זית כתית מעולה	884	0.0	0.0	100.0
252	שמן קנולה / חמניות	884	0.0	0.0	100.0
253	תרסיס שמן קנולה / זית	884	0.0	0.0	100.0
254	מיונז קלאסי (הלמנס / תלמה)	680	1.0	1.5	75.0
255	מיונז הלמנס לייטאקטיב 5% / 9%	180	1.0	3.5	17.0
256	קטשופ אסם קלאסי	105	1.2	25.0	0.1
257	קטשופ אסם ללא תוספת סוכר	75	1.5	16.5	0.1
258	חרדל דיז'ון / צהוב	65	4.0	6.0	3.5
259	רוטב סויה דל נתרן (קיקומן)	55	6.0	8.0	0.0
260	רוטב צ'ילי מתוק	210	0.5	52.0	0.2
261	רוטב ברבקיו	165	0.8	40.0	0.5
262	רוטב אלף האיים לייט	180	0.8	10.0	15.0
263	סילאן טבעי 100% תמרים	305	1.5	75.0	0.2
264	דבש טבעי (יד מרדכי)	304	0.3	82.4	0.0
265	ממרח השחר העולה	520	3.5	56.0	31.0
266	ממרח נוטלה	539	6.3	57.5	30.9
267	ממרח לוטוס	536	4.9	61.7	29.3
268	אבקת חלבון מי גבינה WHEY	390	75.0	8.0	6.0
269	אבקת חלבון איסולייט ISO	370	85.0	2.0	1.5
270	אבקת חלבון טבעונית (סויה/אפונה)	400	72.0	6.0	7.0
271	חטיף חלבון Allin קראנצ' 20g	360	32.0	30.0	13.0
272	חטיף חלבון Barebells 20g	360	33.0	25.0	14.0
273	חטיף חלבון Ninja 20g	350	31.0	28.0	12.0
274	חטיף חלבון Pro 20g - שטראוס	340	30.0	32.0	11.0
275	חטיף חלבון Quest Bar	330	35.0	28.0	10.0
276	חטיף אנרגיה Nature Valley	420	7.0	56.0	18.0
277	חטיף אנרגיה FITFREE ללא סוכר	370	8.0	45.0	16.0
278	במבה קלאסית (אסם)	525	15.0	38.0	34.0
279	במבה פרו 12g חלבון	460	22.0	32.0	26.0
280	ביסלי גריל / ברבקיו (אסם)	450	9.0	65.0	17.0
281	תפוצ'יפס קלאסי (שטראוס)	536	6.0	53.0	33.0
282	תפוצ'יפס Crunch	510	6.5	56.0	29.0
283	דורטוס חמוץ חריף	480	6.5	62.0	22.0
284	פופקורן ביתי ללא שמן / באוויר חם	387	12.0	78.0	4.5
285	פופקורן למיקרוגל במלח	480	7.5	52.0	28.0
286	שוקולד מריר 70% מוצקי קקאו	580	7.8	34.0	42.5
287	שוקולד מריר 85%	592	10.0	19.0	52.0
