id,name,category,servingSize,current_calories,current_protein,current_carbs,current_fat,current_fiber,status,pageTitle,source_calories_per_100g,source_protein_per_100g,source_carbs_per_100g,source_fat_per_100g,source_fiber_per_100g,url,error
f-israel-1,חלב 3% - תנובה / שטראוס,חלב,"100 מ""ל",60,3.2,4.7,3,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%97%D7%9C%D7%91%203%25%20-%20%D7%AA%D7%A0%D7%95%D7%91%D7%94%20%2F%20%D7%A9%D7%98%D7%A8%D7%90%D7%95%D7%A1,HTTPError: HTTP Error 404: Not Found
f-israel-2,חלב 1% - תנובה,חלב,"100 מ""ל",42,3.3,4.8,1,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%97%D7%9C%D7%91%201%25%20-%20%D7%AA%D7%A0%D7%95%D7%91%D7%94,HTTPError: HTTP Error 404: Not Found
f-israel-3,חלב דל לקטוז 2%,חלב,"100 מ""ל",50,3.3,4.7,2,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%97%D7%9C%D7%91%20%D7%93%D7%9C%20%D7%9C%D7%A7%D7%98%D7%95%D7%96%202%25,HTTPError: HTTP Error 404: Not Found
f-israel-4,חלב סויה ללא סוכר - אלפרו,תחליפי חלב,"100 מ""ל",33,3.3,0.2,1.8,0.6,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%97%D7%9C%D7%91%20%D7%A1%D7%95%D7%99%D7%94%20%D7%9C%D7%9C%D7%90%20%D7%A1%D7%95%D7%9B%D7%A8%20-%20%D7%90%D7%9C%D7%A4%D7%A8%D7%95,HTTPError: HTTP Error 404: Not Found
f-israel-5,חלב שקדים ללא סוכר,תחליפי חלב,"100 מ""ל",15,0.5,0.2,1.2,0.2,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%97%D7%9C%D7%91%20%D7%A9%D7%A7%D7%93%D7%99%D7%9D%20%D7%9C%D7%9C%D7%90%20%D7%A1%D7%95%D7%9B%D7%A8,HTTPError: HTTP Error 404: Not Found
f-israel-6,חלב שיבולת שועל - אלפרו,תחליפי חלב,"100 מ""ל",45,1,6.8,1.5,0.8,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%97%D7%9C%D7%91%20%D7%A9%D7%99%D7%91%D7%95%D7%9C%D7%AA%20%D7%A9%D7%95%D7%A2%D7%9C%20-%20%D7%90%D7%9C%D7%A4%D7%A8%D7%95,HTTPError: HTTP Error 404: Not Found
f-israel-7,קוטג' 5% - תנובה,גבינות,100 גרם,95,11,1.5,5,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%A7%D7%95%D7%98%D7%92%27%205%25%20-%20%D7%AA%D7%A0%D7%95%D7%91%D7%94,HTTPError: HTTP Error 404: Not Found
f-israel-8,קוטג' 3% - תנובה,גבינות,100 גרם,78,11.5,1.5,3,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%A7%D7%95%D7%98%D7%92%27%203%25%20-%20%D7%AA%D7%A0%D7%95%D7%91%D7%94,HTTPError: HTTP Error 404: Not Found
f-israel-9,קוטג' 9% - שטראוס,גבינות,100 גרם,124,10.5,1.5,9,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%A7%D7%95%D7%98%D7%92%27%209%25%20-%20%D7%A9%D7%98%D7%A8%D7%90%D7%95%D7%A1,HTTPError: HTTP Error 404: Not Found
f-israel-10,קוטג' פרו 12g חלבון,גבינות,גביע (125g),105,12,2,5,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%A7%D7%95%D7%98%D7%92%27%20%D7%A4%D7%A8%D7%95%2012g%20%D7%97%D7%9C%D7%91%D7%95%D7%9F,HTTPError: HTTP Error 404: Not Found
f-israel-11,גבינה לבנה 5% - תנובה,גבינות,100 גרם,90,10,1.5,5,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%92%D7%91%D7%99%D7%A0%D7%94%20%D7%9C%D7%91%D7%A0%D7%94%205%25%20-%20%D7%AA%D7%A0%D7%95%D7%91%D7%94,HTTPError: HTTP Error 404: Not Found
f-israel-12,גבינה לבנה 3% - שטראוס,גבינות,100 גרם,73,10.2,1.5,3,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%92%D7%91%D7%99%D7%A0%D7%94%20%D7%9C%D7%91%D7%A0%D7%94%203%25%20-%20%D7%A9%D7%98%D7%A8%D7%90%D7%95%D7%A1,HTTPError: HTTP Error 404: Not Found
f-israel-13,גבינה לבנה 9% - תנובה,גבינות,100 גרם,120,9.5,1.5,9,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%92%D7%91%D7%99%D7%A0%D7%94%20%D7%9C%D7%91%D7%A0%D7%94%209%25%20-%20%D7%AA%D7%A0%D7%95%D7%91%D7%94,HTTPError: HTTP Error 404: Not Found
f-israel-14,גבינה צהובה עמק 28% - תנובה,גבינות קשות,פרוסה (28g),98,7,0.1,7.8,0,error,,,,,,,https://www.foodsdictionary.co.il/Products/1/%D7%92%D7%91%D7%99%D7%A0%D7%94%20%D7%A6%D7%94%D7%95%D7%91%D7%94%20%D7%A2%D7%9E%D7%A7%2028%25%20-%20%D7%AA%D7%A0%D7%95%D7%91%D7%94,HTTPError: HTTP Error 404: Not Found
